fighter_name,ko/tko_wins,submission_wins,decision_wins,win_streak,lose_streak,longest_win_streak,longest_lose_streak,title_fight_wins,height,reach,weight,stance,dob
Marcelo Aguiar,1,0,0,0,1,0,1,0,"['5\' 10""']",['--'],['170 lbs.'],['Orthodox'],"['Jan 20, 1969']"
unknown,0,0,0,0,0,0,0,0,"['6\' 0""']",['--'],['185 lbs.'],[''],"['Feb 10, 1988']"
Edwin Aguilar,1,0,0,0,1,0,1,0,"['5\' 10""']",['--'],['185 lbs.'],[''],"['Jan 01, 1972']"
Jessica Aguilar,0,1,4,0,2,1,2,0,"['5\' 3""']","['63""']",['115 lbs.'],['Orthodox'],"['May 08, 1982']"
Kevin Aguilar,1,0,6,0,4,3,4,0,"['5\' 7""']","['73""']",['155 lbs.'],['Orthodox'],"['Sep 07, 1988']"
Jesus Aguilar,1,3,3,1,0,3,1,0,"['5\' 4""']","['62""']",['125 lbs.'],['Orthodox'],"['Mar 13, 1996']"
Christian Aguilera,1,2,0,0,2,1,2,0,"['5\' 9""']","['72""']",['170 lbs.'],['Switch'],"['Nov 25, 1991']"
Nick Aguirre,0,1,1,0,2,0,2,0,"['5\' 9""']","['74""']",['135 lbs.'],['Southpaw'],"['Jan 15, 1996']"
Agulali,1,1,0,0,1,1,1,0,"['5\' 9""']","['67""']",['125 lbs.'],['Switch'],"['Apr 07, 2005']"
unknown,0,0,0,0,0,0,0,0,['--'],['--'],['145 lbs.'],[''],['--']
Mike Aina,0,0,1,0,0,0,1,0,"['5\' 9""']",['--'],['155 lbs.'],['Orthodox'],"['Dec 25, 1980']"
Ashiek Ajim,1,0,0,0,1,0,1,0,"['5\' 8""']","['71""']",['135 lbs.'],['Switch'],"['Jun 19, 1994']"
Hitomi Akano,1,1,2,0,2,1,2,0,"['5\' 4""']",['--'],['135 lbs.'],['Southpaw'],"['Jul 27, 1974']"
Omari Akhmedov,4,2,8,0,1,3,2,0,"['6\' 0""']","['73""']",['185 lbs.'],['Orthodox'],"['Oct 12, 1987']"
Yoshihiro Akiyama,7,8,5,0,1,8,4,0,"['5\' 10""']","['75""']",['170 lbs.'],['Orthodox'],"['Jul 29, 1975']"
Rostem Akman,0,0,2,0,2,0,2,0,"['5\' 10""']","['72""']",['170 lbs.'],['Switch'],"['Dec 19, 1991']"
Razak Al-Hassan,0,1,1,0,2,0,2,0,"['6\' 2""']",['--'],['205 lbs.'],['Orthodox'],"['May 14, 1982']"
Abdul-Kareem Al-Selwady,1,0,1,0,1,1,1,0,"['5\' 8""']","['69""']",['155 lbs.'],['Orthodox'],"['Apr 10, 1995']"
Mostapha Al-Turk,2,0,1,0,3,0,3,0,"['6\' 2""']","['77""']",['245 lbs.'],['Orthodox'],"['Jul 14, 1973']"
Herdem Alacabek,1,0,0,0,1,0,1,0,"['6\' 2""']","['75""']",['205 lbs.'],['Orthodox'],"['Jun 07, 1991']"
Javi Alanis,1,0,0,0,1,0,1,0,"['5\' 6""']",['--'],['135 lbs.'],[''],['--']
Alatengheili,1,0,8,0,1,2,1,0,"['5\' 5""']","['66""']",['135 lbs.'],['Orthodox'],"['Dec 14, 1991']"
Amir Albazi,1,2,3,0,1,5,1,0,"['5\' 5""']","['68""']",['125 lbs.'],['Orthodox'],"['Oct 27, 1993']"
Brett Albee,1,0,0,0,1,0,1,0,['--'],['--'],['225 lbs.'],[''],['--']
John Albert,1,4,0,0,4,1,4,0,"['5\' 8""']","['68""']",['135 lbs.'],['Orthodox'],"['Oct 13, 1986']"
Junior Albini,3,1,1,0,4,1,4,0,"['6\' 3""']","['74""']",['264 lbs.'],['Orthodox'],"['Mar 15, 1991']"
Wes Albritton,1,0,0,0,1,0,1,0,"['5\' 10""']",['--'],['188 lbs.'],['Orthodox'],['--']
Aleksandra Albu,0,2,2,0,2,2,2,0,"['5\' 2""']","['63""']",['115 lbs.'],['Orthodox'],"['Jul 14, 1990']"
Israel Albuquerque,1,0,0,0,1,0,1,0,['--'],['--'],['185 lbs.'],['Orthodox'],['--']
Juan Alcain,0,0,1,1,0,1,0,0,['--'],['--'],['--'],[''],['--']
Iuri Alcantara,5,3,10,0,1,3,2,0,"['5\' 9""']","['71""']",['135 lbs.'],['Southpaw'],"['Aug 04, 1980']"
Ildemar Alcantara,0,1,6,0,1,2,1,0,"['6\' 2""']","['78""']",['185 lbs.'],['Orthodox'],"['Nov 18, 1982']"
Alfonso Alcarez,0,0,0,0,0,0,0,0,"['5\' 3""']",['--'],['145 lbs.'],[''],"['Jun 10, 1970']"
Gilbert Aldana,2,0,0,0,2,0,2,0,"['6\' 1""']",['--'],['250 lbs.'],['Orthodox'],"['Aug 25, 1977']"
Irene Aldana,3,1,10,0,1,3,2,0,"['5\' 9""']","['68""']",['135 lbs.'],['Orthodox'],"['Mar 26, 1988']"
Hector Aldana,2,0,1,0,3,0,3,0,"['5\' 11""']","['72""']",['170 lbs.'],['Orthodox'],"['Aug 17, 1988']"
Jose Alday,0,0,1,0,1,0,1,0,"['5\' 7""']","['68""']",['135 lbs.'],['Orthodox'],"['Sep 14, 1991']"
Jose Aldo,15,0,16,0,2,15,3,11,"['5\' 7""']","['70""']",['135 lbs.'],['Orthodox'],"['Sep 09, 1986']"
JJ Aldrich,2,1,13,1,0,3,2,0,"['5\' 5""']","['67""']",['125 lbs.'],['Southpaw'],"['Sep 29, 1992']"
Irina Alekseeva,0,2,2,0,3,1,3,0,"['5\' 8""']","['67""']",['135 lbs.'],['Orthodox'],"['Jun 27, 1990']"
Talita Alencar,0,0,4,0,0,1,1,0,"['5\' 1""']","['58""']",['115 lbs.'],['Orthodox'],"['Oct 17, 1990']"
Jim Alers,1,0,2,0,1,1,1,0,"['5\' 9""']","['71""']",['145 lbs.'],['Orthodox'],"['Oct 14, 1986']"
John Alessio,0,6,6,0,4,3,4,0,"['5\' 10""']","['72""']",['155 lbs.'],['Orthodox'],"['Jul 05, 1979']"
Houston Alexander,4,1,1,0,4,2,4,0,"['6\' 0""']","['72""']",['205 lbs.'],['Orthodox'],"['Mar 22, 1972']"
Kenneth Alexander,0,0,1,0,1,0,1,0,"['5\' 9""']",['--'],['155 lbs.'],['Orthodox'],"['Sep 25, 1977']"
Lucas Alexander,2,1,1,0,2,1,2,0,"['5\' 11""']","['73""']",['145 lbs.'],['Orthodox'],"['Jul 28, 1995']"
Marcio Alexandre Junior,0,2,2,1,0,1,3,0,"['6\' 0""']","['75""']",['185 lbs.'],['Southpaw'],"['May 05, 1989']"
Olaf Alfonso,3,0,1,0,4,0,4,0,"['6\' 2""']",['--'],['170 lbs.'],['Orthodox'],"['Aug 06, 1974']"
Pablo Alfonso,0,1,0,1,0,1,0,0,"['5\' 8""']",['--'],['145 lbs.'],[''],"['May 09, 1983']"
unknown,0,0,0,0,0,0,0,0,['--'],['--'],['--'],[''],['--']
Bill Algeo,3,1,7,0,2,2,2,0,"['6\' 0""']","['73""']",['145 lbs.'],['Switch'],"['Jun 09, 1989']"
Royce Alger,1,1,0,0,2,0,2,0,"['5\' 10""']",['--'],['199 lbs.'],['Orthodox'],"['Mar 06, 1965']"
unknown,0,0,0,0,0,0,0,0,"['6\' 3""']",['--'],['250 lbs.'],[''],"['Jun 10, 1984']"
Sultan Aliev,2,0,2,1,0,1,1,0,"['5\' 11""']","['74""']",['170 lbs.'],['Orthodox'],"['Sep 17, 1984']"
Nurullo Aliev,1,0,1,3,0,3,0,0,"['5\' 10""']","['72""']",['155 lbs.'],['Orthodox'],"['Dec 08, 2000']"
Ikram Aliskerov,4,1,1,2,0,3,1,0,"['6\' 0""']","['76""']",['185 lbs.'],['Southpaw'],"['Dec 07, 1992']"
Leon Aliu,1,0,0,0,1,0,1,0,"['6\' 0""']","['74""']",['185 lbs.'],['Orthodox'],"['Jul 14, 1989']"
John Allan,0,1,2,0,2,0,2,0,"['6\' 1""']","['75""']",['205 lbs.'],['Orthodox'],"['Feb 22, 1993']"
George Allen,0,0,1,0,1,0,1,0,"['6\' 2""']",['--'],['205 lbs.'],['Open Stance'],"['Jan 13, 1967']"
Arnold Allen,2,2,9,1,0,10,2,0,"['5\' 8""']","['70""']",['145 lbs.'],['Southpaw'],"['Jan 22, 1994']"
Brendan Allen,4,8,7,2,0,7,2,0,"['6\' 2""']","['75""']",['185 lbs.'],['Orthodox'],"['Dec 28, 1995']"
Daniel Allen,0,0,1,1,0,1,0,0,"['6\' 0""']","['75""']",['155 lbs.'],['Southpaw'],"['Aug 10, 1992']"
Ben Alloway,1,1,1,0,2,1,2,0,"['5\' 11""']","['76""']",['170 lbs.'],['Orthodox'],"['Feb 19, 1981']"
